filename,label
CW2019_1527_t000.jpg,0
CW2019_1527_t009.jpg,0
CW2019_1527_t023.jpg,0
CW2019_1527_t025.jpg,0
CW2019_1527_t034.jpg,1
CW2019_1527_t044.jpg,0
CW2019_1527_t045.jpg,0
CW2019_1527_t050.jpg,0
CW2019_1527_t054.jpg,1
CW2019_1527_t058.jpg,1
CW2019_1527_t063.jpg,1
CW2019_1527_t065.jpg,1
CW2019_1527_t069.jpg,1
CW2019_1527_t073.jpg,1
CW2019_1527_t085.jpg,1
CW2019_1527_t091.jpg,1
CW2019_1527_t105.jpg,1
CW2019_1527_t113.jpg,1
CW2019_1527_t115.jpg,1
CW2019_1527_t118.jpg,1
CW2019_1527_t119.jpg,0
CW2019_1527_t124.jpg,0
CW2019_1527_t126.jpg,0
CW2019_1527_t129.jpg,0
CW2019_1527_t141.jpg,1
CW2019_1530_t008.jpg,1
CW2019_1530_t009.jpg,1
CW2019_1530_t018.jpg,1
CW2019_1530_t019.jpg,1
CW2019_1530_t029.jpg,1
CW2019_1530_t031.jpg,1
CW2019_1530_t039.jpg,1
CW2019_1530_t048.jpg,1
CW2019_1530_t051.jpg,1
CW2019_1530_t064.jpg,1
CW2019_1530_t066.jpg,1
CW2019_1530_t068.jpg,1
CW2019_1530_t069.jpg,1
CW2019_1530_t076.jpg,1
CW2019_1530_t078.jpg,0
CW2019_1530_t084.jpg,1
CW2019_1530_t088.jpg,0
CW2019_1530_t096.jpg,1
CW2019_1530_t099.jpg,1
CW2019_1530_t101.jpg,1
CW2019_1530_t108.jpg,1
CW2019_1530_t124.jpg,0
CW2019_1530_t129.jpg,1
CW2019_1530_t141.jpg,1
CW2019_1530_t149.jpg,1
CW2019_1535_t001.jpg,1
CW2019_1535_t018.jpg,1
CW2019_1535_t023.jpg,1
CW2019_1535_t029.jpg,1
CW2019_1535_t031.jpg,1
CW2019_1535_t034.jpg,1
CW2019_1535_t038.jpg,1
CW2019_1535_t039.jpg,0
CW2019_1535_t043.jpg,1
CW2019_1535_t044.jpg,1
CW2019_1535_t046.jpg,1
CW2019_1535_t066.jpg,1
CW2019_1535_t068.jpg,1
CW2019_1535_t071.jpg,1
CW2019_1535_t073.jpg,1
CW2019_1535_t096.jpg,1
CW2019_1535_t101.jpg,1
CW2019_1535_t108.jpg,1
CW2019_1535_t111.jpg,1
CW2019_1535_t113.jpg,0
CW2019_1535_t118.jpg,1
CW2019_1535_t119.jpg,0
CW2019_1535_t123.jpg,1
CW2019_1535_t126.jpg,0
CW2019_1535_t146.jpg,1
CW2019_1549_t001.jpg,1
CW2019_1549_t003.jpg,1
CW2019_1549_t009.jpg,1
CW2019_1549_t016.jpg,1
CW2019_1549_t019.jpg,1
CW2019_1549_t031.jpg,1
CW2019_1549_t033.jpg,0
CW2019_1549_t034.jpg,1
CW2019_1549_t038.jpg,1
CW2019_1549_t039.jpg,1
CW2019_1549_t049.jpg,1
CW2019_1549_t059.jpg,1
CW2019_1549_t064.jpg,1
CW2019_1549_t069.jpg,1
CW2019_1549_t071.jpg,1
CW2019_1549_t086.jpg,1
CW2019_1549_t089.jpg,1
